"name","price","gross","seller"
"诺基亚105","89.00","1800+","泰业优品二手手机旗舰店"
"诺基亚105","159.00","1800+","天域手机专营店"
"华为P30 Pro","4488.00","1.3万+","臻火旗舰店"
"华为P30 Pro","4488.00","1.3万+","掌视界数码旗舰店"
"华为P30 Pro","5987.00","9600+","华为京东自营官方旗舰店"
"华为P30 Pro","6887.00","9000+","华为京东自营官方旗舰店"
"华为P30 Pro","4488.00","8500+","炜东电商旗舰店"
"小米Redmi K20 Pro","2368.00","500+","同达丰手机旗舰店"
"小米Redmi K20 Pro","1798.00","500+","谷高数码手机专营店"
"小米Redmi K20 Pro","2338.00","500+","掌视界数码旗舰店"
"小米Redmi K20 Pro","2398.00","400+","明日数码旗舰店"
"小米Redmi K20 Pro","2699.00","400+","淘金手机专营店"
"华为荣耀9X","1299.00","5100+","OKSJ手机旗舰店"
"华为荣耀9X","1099.00","4800+","明日数码旗舰店"
"华为荣耀9X","1099.80","4400+","疆界互联旗舰店"
"华为荣耀9X","1099.00","3500+","炜东电商旗舰店"
"华为荣耀9X","1799.00","3100+","佳沪手机旗舰店"
"华为P30","3388.00","2500+","中国移动手机官方旗舰店"
"华为P30","5788.00","1900+","天翼电信旗舰店"
"华为P30","3888.00","1800+","千瑞达手机旗舰店"
"华为P30","3398.00","1700+","众宇通手机专营店"
"华为P30","4488.00","1700+","天翼电信旗舰店"
"华为荣耀20","1499.00","6300+","新松联手机旗舰店"
"华为荣耀20","1299.00","5100+","OKSJ手机旗舰店"
"华为荣耀20","999.00","4800+","佳沪手机旗舰店"
"华为荣耀8X","919.00","3900+","京铠玄手机旗舰店"
"华为荣耀8X","899.00","3700+","新松联手机旗舰店"
"华为荣耀8X","899.00","3500+","京联通达旗舰店"
"华为荣耀8X","1349.00","3200+","疆界互联旗舰店"
"华为畅享9 Plus","1159.00","2400+","同达丰手机旗舰店"
"华为畅享9 Plus","1198.00","2100+","易销科技手机专营店"
"华为畅享9 Plus","1098.00","2000+","OKSJ手机旗舰店"
"华为畅享9 Plus","1208.00","2000+","华信通手机专营店"
"华为畅享9 Plus","1689.00","1900+","臻火旗舰店"
"诺基亚105","139.00","1700+","天域手机专营店"
"华为P30 Pro","4488.00","8400+","OKSJ手机旗舰店"
"华为P30 Pro","3388.00","5900+","OKSJ手机旗舰店"
"华为P30 Pro","3688.00","4900+","天翼电信旗舰店"
"华为P30 Pro","4488.00","4900+","京联通达旗舰店"
"华为P30 Pro","5088.00","3400+","聚捷联盛手机旗舰店"
"华为P30 Pro","4488.00","2500+","牧申手机旗舰店"
"华为P30 Pro","5788.00","1900+","天翼电信旗舰店"
"华为P30 Pro","4488.00","1700+","天翼电信旗舰店"
"华为P30 Pro","4988.00","1600+","新松联手机旗舰店"
"华为P30 Pro","5788.00","1600+","君问手机旗舰店"
"华为P30 Pro","4488.00","1500+","中国移动手机官方旗舰店"
"华为P30 Pro","3988.00","1500+","弘朝数码旗舰店"
"华为P30 Pro","3388.00","1400+","新松联手机旗舰店"
"小米Redmi K20 Pro","2449.00","400+","聚捷联盛手机旗舰店"
"小米Redmi K20 Pro","1558.00","400+","掌视界数码旗舰店"
"小米Redmi K20 Pro","1858.00","400+","明日数码旗舰店"
"小米Redmi K20 Pro","2388.00","300+","疆界互联旗舰店"
"小米Redmi K20 Pro","2418.00","300+","淘金手机专营店"
"小米Redmi K20 Pro","2699.00","200+","新松联手机旗舰店"
"小米Redmi K20 Pro","2338.00","200+","茄子手机旗舰店"
"小米Redmi K20 Pro","2449.00","200+","鹏瑶旗舰店"
"小米Redmi K20 Pro","2699.00","200+","谷高数码手机专营店"
"小米Redmi K20 Pro","3038.00","100+","鹏路网络手机旗舰店"
"华为荣耀9X","2199.00","3000+","爱优创杰手机旗舰店"
"华为荣耀9X","1199.00","2900+","京联通达旗舰店"
"华为荣耀9X","1199.00","2800+","宏图手机专营店"
"华为荣耀9X","899.00","2800+","中益德诚手机专营店"
"华为荣耀9X","1199.00","2400+","京铠玄手机旗舰店"
"华为荣耀9X","2199.00","1300+","掌视界数码旗舰店"
"华为荣耀9X","1799.00","1200+","易销科技手机专营店"
"华为荣耀9X","1079.00","1100+","同达丰手机旗舰店"
"华为荣耀9X","1949.00","1100+","疆界互联旗舰店"
"华为荣耀9X","1999.00","1100+","新松联手机旗舰店"
"华为荣耀9X","1939.00","1000+","牧申手机旗舰店"
"华为荣耀9X","1099.00","900+","冰之凯盛手机专营店"
"华为P30","4988.00","1600+","新松联手机旗舰店"
"华为P30","5788.00","1600+","君问手机旗舰店"
"华为P30","4488.00","1500+","中国移动手机官方旗舰店"
"华为P30","3988.00","1500+","弘朝数码旗舰店"
"华为P30","3688.00","1400+","久汇通官方旗舰店"
"华为P30","3388.00","1400+","新松联手机旗舰店"
"华为荣耀20","2499.00","4400+","新松联手机旗舰店"
"华为荣耀20","1188.00","4300+","佳沪手机旗舰店"
"华为荣耀20","2399.00","4200+","天翼电信旗舰店"
"华为荣耀8X","1549.00","2800+","中益德诚手机专营店"
"华为荣耀8X","1249.00","2600+","佳沪手机旗舰店"
"华为荣耀8X","1549.00","1400+","炜东电商旗舰店"
"华为荣耀8X","1299.00","1000+","京铠玄手机旗舰店"
"华为荣耀8X","1289.00","1000+","众盛手机专营店"
"华为荣耀8X","899.00","800+","时器数码旗舰店"
"华为荣耀8X","898.00","800+","伟德手机专营店"
"华为荣耀8X","1359.00","700+","爱优创杰手机旗舰店"
"华为荣耀8X","898.00","600+","优爱特手机专营店"
"华为荣耀8X","1229.00","600+","华信通手机专营店"
